Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Montenegro,eCommerce,Users,Media,million users,Statista,0.064,0.076,0.088,0.101,0.113,0.125,0.135,0.143,0.151,0.162,0.172
Montenegro,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,0.048,0.069,0.09,0.113,0.138,0.165,0.189,0.207,0.225,0.247,0.269
Montenegro,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,8.853,10.773,12.745,14.895,16.952,19.247,21.138,22.621,24.091,25.993,27.778
Montenegro,eCommerce,Penetration Rate,Beverages,percent,Statista,4.268,5.511,6.84,8.317,9.896,11.426,12.805,13.88,14.957,16.291,17.554
Montenegro,eCommerce,Penetration Rate,eCommerce,percent,Statista,24.368,28.752,35.075,38.302,41.315,43.751,46.465,47.488,48.517,49.678,50.565
Montenegro,eCommerce,Penetration Rate,Electronics,percent,Statista,13.376,16.337,19.477,22.964,26.586,30.219,33.301,35.571,37.835,40.527,43.008
Montenegro,eCommerce,Penetration Rate,Fashion,percent,Statista,12.818,15.773,18.874,22.219,25.831,29.515,32.712,35.344,37.976,41.122,44.126
Montenegro,eCommerce,Penetration Rate,Food,percent,Statista,4.013,5.182,6.432,7.82,9.305,10.744,12.041,13.051,14.064,15.319,16.506
Montenegro,eCommerce,Penetration Rate,Furniture,percent,Statista,4.232,6.179,8.217,10.427,12.898,15.413,17.517,19.229,20.943,23.031,25.014
Montenegro,eCommerce,Penetration Rate,Media,percent,Statista,10.156,12.035,13.954,16.012,18.03,19.834,21.444,22.782,24.122,25.839,27.452
Montenegro,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,7.688,10.94,14.365,17.998,22.034,26.246,30.101,33.014,35.929,39.491,42.881
Montenegro,Electronics,Revenue,Total,million USD (US$),Statista,23.24,26.69,30.94,40.4,48.65,46.11,60.27,68.63,76.71,83.41,90.47
Montenegro,Electronics,Revenue,Consumer Electronics,million USD (US$),Statista,16.29,18.55,21.32,29.71,35.39,31.4,41.63,47.24,52.47,56.99,61.71
Montenegro,Electronics,Revenue,Household Appliances,million USD (US$),Statista,6.949,8.139,9.614,10.69,13.26,14.71,18.63,21.38,24.24,26.42,28.76
Montenegro,Electronics,Revenue Change,Total,percent,Statista,,14.845,15.924,30.575,20.421,-5.221,30.709,13.871,11.773,8.734,8.464
Montenegro,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,13.874,14.933,39.353,19.118,-11.274,32.58,13.476,11.071,8.614,8.282
Montenegro,Electronics,Revenue Change,Household Appliances,percent,Statista,,17.125,18.123,11.192,24.041,10.935,26.649,14.761,13.377,8.993,8.857
Montenegro,Electronics,Average Revenue per User by Segment,Total,USD (US$),Statista,276.8,260.2,252.9,280.1,291.4,243,288.3,307.5,323.3,328.4,335.9
