Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,eCommerce,Revenue Share Payment Types,Other,percent,Statista,9.659,9.586,9.504,9.594,9.688,9.743,9.75,9.753,9.756,,
Morocco,eCommerce,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Morocco,eCommerce,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Morocco,eCommerce,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Morocco,eCommerce,Online & Offline Split,Offline,percent,Statista,98.244,98.07,97.857,97.244,96.895,96.518,96.051,95.493,94.823,,
Morocco,eCommerce,Online & Offline Split,Online,percent,Statista,1.756,1.93,2.143,2.756,3.105,3.482,3.949,4.507,5.177,,
Morocco,eCommerce,Mobile/Desktop Split,Desktop,percent,Statista,49.242,46.527,45.651,44.215,42.8,41.423,39.885,38.588,37.246,,
Morocco,eCommerce,Mobile/Desktop Split,Mobile,percent,Statista,50.758,53.473,54.349,55.785,57.2,58.577,60.115,61.412,62.754,,
Morocco,eCommerce,Users,Total,million users,Statista,6.444,7.901,10.957,12.258,13.594,14.741,15.385,16.607,17.864,18.563,19.26
Morocco,eCommerce,Users,"Beauty, Health, Personal & Household Care",million users,Statista,3.284,3.843,4.438,5.077,5.712,6.331,6.861,7.294,7.732,8.202,8.641
Morocco,eCommerce,Users,Beverages,million users,Statista,1.419,1.839,2.364,2.834,3.352,3.878,4.353,4.741,5.14,5.572,5.985
Morocco,eCommerce,Users,Electronics,million users,Statista,4.611,5.555,6.669,7.826,9.009,10.166,11.206,11.99,12.782,13.68,14.516
Morocco,eCommerce,Users,Fashion,million users,Statista,5.304,5.98,6.732,7.573,8.415,9.247,10.004,10.66,11.335,12.06,12.761
Morocco,eCommerce,Users,Food,million users,Statista,1.335,1.729,2.222,2.665,3.152,3.646,4.093,4.458,4.833,5.239,5.627
Morocco,eCommerce,Users,Furniture,million users,Statista,1.397,1.981,2.75,3.554,4.531,5.567,6.533,7.314,8.12,8.975,9.814
Morocco,eCommerce,Users,Media,million users,Statista,3.328,4.367,4.888,5.457,6.061,6.578,7.048,7.46,7.884,8.2,8.493
Morocco,eCommerce,Users,"Toys, Hobby & DIY",million users,Statista,2.949,3.858,5.014,6.134,7.559,9.026,9.885,10.719,11.563,12.527,13.423
Morocco,eCommerce,Penetration Rate,"Beauty, Health, Personal & Household Care",percent,Statista,9.23,10.667,12.168,13.754,15.296,16.76,17.963,18.893,19.821,20.816,21.717
Morocco,eCommerce,Penetration Rate,Beverages,percent,Statista,3.989,5.105,6.48,7.679,8.975,10.267,11.398,12.28,13.176,14.141,15.041
Morocco,eCommerce,Penetration Rate,eCommerce,percent,Statista,18.111,21.931,30.043,33.21,36.402,39.027,40.282,43.016,45.795,47.109,48.406
